dataset,vocab_size,seed,fold,accuracy,balanced_accuracy,kappa
bci_iv_2a,2048,123,1,0.2690972222222222,0.2690972222222222,0.02546296296296291
bci_iv_2a,2048,123,2,0.2829861111111111,0.2829861111111111,0.04398148148148151
bci_iv_2a,2048,123,3,0.2899305555555556,0.2899305555555555,0.0532407407407407
bci_iv_2a,2048,123,4,0.24305555555555555,0.24305555555555558,-0.0092592592592593
bci_iv_2a,2048,123,5,0.265625,0.265625,0.02083333333333337
bci_iv_2a,2048,123,6,0.2725694444444444,0.2725694444444444,0.03009259259259256
bci_iv_2a,2048,123,7,0.2986111111111111,0.2986111111111111,0.06481481481481477
bci_iv_2a,2048,123,8,0.2517361111111111,0.2517361111111111,0.0023148148148147696
bci_iv_2a,2048,456,0,0.2604166666666667,0.2604166666666667,0.01388888888888884
bci_iv_2a,2048,456,1,0.2690972222222222,0.2690972222222222,0.02546296296296291
bci_iv_2a,2048,456,2,0.2760416666666667,0.27604166666666663,0.03472222222222221
bci_iv_2a,2048,456,3,0.2899305555555556,0.2899305555555555,0.0532407407407407
bci_iv_2a,2048,456,4,0.23958333333333334,0.23958333333333337,-0.01388888888888884
bci_iv_2a,2048,456,5,0.2708333333333333,0.27083333333333337,0.02777777777777779
bci_iv_2a,2048,456,6,0.2743055555555556,0.2743055555555556,0.03240740740740744
bci_iv_2a,2048,456,7,0.3003472222222222,0.3003472222222222,0.06712962962962965
bci_iv_2a,2048,456,8,0.2517361111111111,0.2517361111111111,0.0023148148148147696
bci_iv_2a,2048,789,0,0.2586805555555556,0.2586805555555556,0.01157407407407407
bci_iv_2a,2048,789,1,0.2708333333333333,0.2708333333333333,0.02777777777777779
bci_iv_2a,2048,789,2,0.2847222222222222,0.2847222222222222,0.04629629629629628
bci_iv_2a,2048,789,3,0.2916666666666667,0.2916666666666667,0.05555555555555558
bci_iv_2a,2048,789,4,0.24131944444444445,0.24131944444444448,-0.011574074074074181
bci_iv_2a,2048,789,5,0.2673611111111111,0.2673611111111111,0.02314814814814814
bci_iv_2a,2048,789,6,0.2777777777777778,0.2777777777777778,0.03703703703703709
bci_iv_2a,2048,789,7,0.3003472222222222,0.3003472222222222,0.06712962962962965
bci_iv_2a,2048,789,8,0.2534722222222222,0.2534722222222222,0.00462962962962965
bci_iv_2a,2048,2024,0,0.2604166666666667,0.2604166666666667,0.01388888888888884
bci_iv_2a,2048,2024,1,0.2743055555555556,0.2743055555555556,0.03240740740740744
bci_iv_2a,2048,2024,2,0.2847222222222222,0.2847222222222222,0.04629629629629628
