dataset,classifier,vocab_size,n_codes,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa
mental_arithmetic,Spatial_BPE_RF,1024,128,2024,5fold-subject,2,0.5285714285714286,0.5285714285714285,0.5284751990202081,0.05714285714285716
mental_arithmetic,Spatial_BPE_RF,1024,128,2024,5fold-subject,3,0.7380952380952381,0.7380952380952381,0.7376133033462823,0.47619047619047616
mental_arithmetic,Spatial_BPE_RF,1024,128,2024,5fold-subject,4,0.5666666666666667,0.5666666666666667,0.5630901483801641,0.1333333333333333
epfl_p300,Spatial_BPE_LogReg,1024,128,42,LOSO,0,0.5694444444444444,0.525,0.4789915966386554,0.03125
epfl_p300,Spatial_BPE_LogReg,1024,128,42,LOSO,1,0.5862268518518519,0.5267361111111111,0.486667915872237,0.034653465346534795
epfl_p300,Spatial_BPE_LogReg,1024,128,42,LOSO,2,0.5625,0.5,0.46489714664897147,0.0
epfl_p300,Spatial_BPE_LogReg,1024,128,42,LOSO,3,0.5532407407407407,0.5263888888888889,0.472514124115068,0.03177257525083599
epfl_p300,Spatial_BPE_LogReg,1024,128,42,LOSO,4,0.5335648148148148,0.5326388888888889,0.4656616004125028,0.03742038216560506
epfl_p300,Spatial_BPE_LogReg,1024,128,42,LOSO,5,0.5324074074074074,0.5097222222222222,0.45644045863459193,0.011419249592169556
epfl_p300,Spatial_BPE_LogReg,1024,128,42,LOSO,6,0.5520833333333334,0.5159722222222223,0.46770249617931736,0.019425675675675547
epfl_p300,Spatial_BPE_LogReg,1024,128,42,LOSO,7,0.5376157407407407,0.4795138888888889,0.44590823810336006,-0.025235243798118256
epfl_p300,Spatial_BPE_LogReg,1024,128,42,LOSO,8,0.5520833333333334,0.5409722222222222,0.47772953047389966,0.04836065573770487
epfl_p300,Spatial_BPE_LogReg,1024,128,42,LOSO,9,0.5081018518518519,0.5076388888888889,0.44418123445652524,0.008553654743390315
epfl_p300,Spatial_BPE_RF,1024,128,42,LOSO,0,0.8327546296296297,0.4996527777777778,0.45437322387117146,-0.0011547344110856006
epfl_p300,Spatial_BPE_RF,1024,128,42,LOSO,1,0.8333333333333334,0.5,0.45454545454545453,0.0
epfl_p300,Spatial_BPE_RF,1024,128,42,LOSO,2,0.8333333333333334,0.5,0.45454545454545453,0.0
epfl_p300,Spatial_BPE_RF,1024,128,42,LOSO,3,0.8327546296296297,0.4996527777777778,0.45437322387117146,-0.0011547344110856006
epfl_p300,Spatial_BPE_RF,1024,128,42,LOSO,4,0.8344907407407407,0.5034722222222222,0.4617291480602087,0.011520737327189057
epfl_p300,Spatial_BPE_RF,1024,128,42,LOSO,5,0.8327546296296297,0.4996527777777778,0.45437322387117146,-0.0011547344110856006
epfl_p300,Spatial_BPE_RF,1024,128,42,LOSO,6,0.8333333333333334,0.5,0.45454545454545453,0.0
epfl_p300,Spatial_BPE_RF,1024,128,42,LOSO,7,0.8333333333333334,0.5,0.45454545454545453,0.0
epfl_p300,Spatial_BPE_RF,1024,128,42,LOSO,8,0.8333333333333334,0.5,0.45454545454545453,0.0
epfl_p300,Spatial_BPE_RF,1024,128,42,LOSO,9,0.8333333333333334,0.5,0.45454545454545453,0.0
epfl_p300,Spatial_BPE_LogReg,1024,128,123,LOSO,0,0.5543981481481481,0.5020833333333333,0.46265792419638574,0.002590673575129543
epfl_p300,Spatial_BPE_LogReg,1024,128,123,LOSO,1,0.5462962962962963,0.5166666666666666,0.46545454545454545,0.020000000000000018
epfl_p300,Spatial_BPE_LogReg,1024,128,123,LOSO,2,0.5208333333333334,0.5055555555555555,0.44950790658304796,0.006399999999999961
epfl_p300,Spatial_BPE_LogReg,1024,128,123,LOSO,3,0.5324074074074074,0.46944444444444444,0.4393503289473684,-0.037671232876712146
epfl_p300,Spatial_BPE_LogReg,1024,128,123,LOSO,4,0.5254629629629629,0.5069444444444444,0.4521835951998021,0.008064516129032362
epfl_p300,Spatial_BPE_LogReg,1024,128,123,LOSO,5,0.5578703703703703,0.5361111111111111,0.4785370192771046,0.04340567612687818
epfl_p300,Spatial_BPE_LogReg,1024,128,123,LOSO,6,0.5422453703703703,0.5045138888888889,0.45866183909894204,0.005448449287510426
epfl_p300,Spatial_BPE_LogReg,1024,128,123,LOSO,7,0.5734953703703703,0.5232638888888889,0.4799123614823406,0.02941176470588225
epfl_p300,Spatial_BPE_LogReg,1024,128,123,LOSO,8,0.5677083333333334,0.5503472222222222,0.48877420203149147,0.06077116512992442
