ablation,dataset,condition,n_windows,window_sec,vocab_size,n_bins,method,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A13,bci_iv_2a,nwin_5,5,0.8,256,64,adaptive,2024,0.29976851851851855,0.019245705032773033,0.2725694444444444,0.3142361111111111,0.29976851851851855,0.06635802469135803,2026-03-22T02:47:14.070589
A13,bci_iv_2a,nwin_10,10,0.4,256,64,adaptive,42,0.28935185185185186,0.003567369214681132,0.2847222222222222,0.2934027777777778,0.28935185185185186,0.05246913580246911,2026-03-22T02:49:53.568633
A13,bci_iv_2a,nwin_10,10,0.4,256,64,adaptive,123,0.28935185185185186,0.003567369214681132,0.2847222222222222,0.2934027777777778,0.28935185185185186,0.05246913580246911,2026-03-22T02:49:53.569637
A13,bci_iv_2a,nwin_10,10,0.4,256,64,adaptive,456,0.28935185185185186,0.003567369214681132,0.2847222222222222,0.2934027777777778,0.28935185185185186,0.05246913580246911,2026-03-22T02:49:53.570636
A13,bci_iv_2a,nwin_10,10,0.4,256,64,adaptive,789,0.28935185185185186,0.003567369214681132,0.2847222222222222,0.2934027777777778,0.28935185185185186,0.05246913580246911,2026-03-22T02:49:53.571136
A13,bci_iv_2a,nwin_10,10,0.4,256,64,adaptive,2024,0.28877314814814814,0.0029508214777736173,0.2847222222222222,0.2916666666666667,0.28877314814814814,0.05169753086419752,2026-03-22T02:49:53.572135
A13,bci_iv_2a,nwin_10,10,0.4,256,64,adaptive,42,0.28935185185185186,0.003567369214681132,0.2847222222222222,0.2934027777777778,0.28935185185185186,0.05246913580246911,2026-03-22T02:49:56.474299
A13,bci_iv_2a,nwin_10,10,0.4,256,64,adaptive,123,0.28935185185185186,0.003567369214681132,0.2847222222222222,0.2934027777777778,0.28935185185185186,0.05246913580246911,2026-03-22T02:49:56.475803
A13,bci_iv_2a,nwin_10,10,0.4,256,64,adaptive,456,0.28935185185185186,0.003567369214681132,0.2847222222222222,0.2934027777777778,0.28935185185185186,0.05246913580246911,2026-03-22T02:49:56.476302
A13,bci_iv_2a,nwin_10,10,0.4,256,64,adaptive,789,0.28935185185185186,0.003567369214681132,0.2847222222222222,0.2934027777777778,0.28935185185185186,0.05246913580246911,2026-03-22T02:49:56.477302
A13,bci_iv_2a,nwin_10,10,0.4,256,64,adaptive,2024,0.28935185185185186,0.003567369214681132,0.28641493055555556,0.2934027777777778,0.28935185185185186,0.05246913580246911,2026-03-22T02:49:56.477802
A13,bci_iv_2a,nwin_20,20,0.2,256,64,adaptive,42,0.3101851851851852,0.022248128225394764,0.2795138888888889,0.3315972222222222,0.3101851851851852,0.0802469135802469,2026-03-22T02:53:42.288402
A13,bci_iv_2a,nwin_20,20,0.2,256,64,adaptive,123,0.30902777777777773,0.021451103000984528,0.2795138888888889,0.3298611111111111,0.3090277777777778,0.07870370370370372,2026-03-22T02:53:42.289906
A13,bci_iv_2a,nwin_20,20,0.2,256,64,adaptive,456,0.3072916666666667,0.021451103000984528,0.2777777777777778,0.328125,0.3072916666666667,0.07638888888888888,2026-03-22T02:53:42.290405
A13,bci_iv_2a,nwin_20,20,0.2,256,64,adaptive,789,0.3084490740740741,0.021791863870095754,0.2777777777777778,0.3263888888888889,0.3084490740740741,0.07793209876543213,2026-03-22T02:53:42.291405
A13,bci_iv_2a,nwin_20,20,0.2,256,64,adaptive,2024,0.30844907407407407,0.021975506419036478,0.2777777777777778,0.328125,0.3084490740740741,0.0779320987654321,2026-03-22T02:53:42.291905
