dataset,classifier,vocab_size,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa
physionet_mi,CSP_Envelope_BPE_LogReg,1024,42,5fold-subject,1,0.2463179278821737,0.24623099658156625,0.24598662138588306,-0.004988146145149752
physionet_mi,CSP_Envelope_BPE_LogReg,1024,42,5fold-subject,2,0.24721941354903942,0.24728793221667156,0.24670734674369033,-0.0037419971359067272
physionet_mi,CSP_Envelope_BPE_LogReg,1024,42,5fold-subject,3,0.25038090401218893,0.25054167540952466,0.24991778656062924,0.0007086601989818586
physionet_mi,CSP_Envelope_BPE_LogReg,1024,42,5fold-subject,4,0.2682555780933063,0.2681882169373969,0.26807262603651294,0.024224343675417814
physionet_mi,CSP_Envelope_BPE_LogReg,1024,123,5fold-subject,0,0.264813843733613,0.2646694138281797,0.26386798999996125,0.01952469053176642
physionet_mi,CSP_Envelope_BPE_LogReg,1024,123,5fold-subject,1,0.24581005586592178,0.24570839862250904,0.24539448643542405,-0.005661557129414296
physionet_mi,CSP_Envelope_BPE_LogReg,1024,123,5fold-subject,2,0.2512639029322548,0.2513366309454972,0.2505754922727177,0.0016596871200100782
physionet_mi,CSP_Envelope_BPE_LogReg,1024,123,5fold-subject,3,0.25190452006094466,0.2520714337564215,0.25140044858680133,0.0027469410238055714
physionet_mi,CSP_Envelope_BPE_LogReg,1024,123,5fold-subject,4,0.2682555780933063,0.26824579810560917,0.2681284523781325,0.024275200316006718
physionet_mi,CSP_Envelope_BPE_LogReg,1024,456,5fold-subject,0,0.26533822758259046,0.26521107620381323,0.26438336002987545,0.020250978206261205
physionet_mi,CSP_Envelope_BPE_LogReg,1024,456,5fold-subject,1,0.244794311833418,0.24470553791325045,0.24449413227208122,-0.007007324776468149
physionet_mi,CSP_Envelope_BPE_LogReg,1024,456,5fold-subject,2,0.2487360970677452,0.2487938575703285,0.24803221741164402,-0.0017190000627071989
physionet_mi,CSP_Envelope_BPE_LogReg,1024,456,5fold-subject,3,0.24987303199593702,0.25003861110780234,0.24936796367081226,4.504281474271288e-05
physionet_mi,CSP_Envelope_BPE_LogReg,1024,456,5fold-subject,4,0.2672413793103448,0.26718420087313993,0.26703610846421144,0.022875938019073727
physionet_mi,CSP_Envelope_BPE_LogReg,1024,789,5fold-subject,0,0.2627163083377032,0.2625509184803644,0.26170420558376406,0.01671398677872893
physionet_mi,CSP_Envelope_BPE_LogReg,1024,789,5fold-subject,1,0.2453021838496699,0.24522709251017755,0.24504141800555632,-0.006324925779283008
physionet_mi,CSP_Envelope_BPE_LogReg,1024,789,5fold-subject,2,0.2487360970677452,0.2488082246373377,0.24812028571585432,-0.0017114896093972654
