ablation,dataset,condition,classifier,vocab_size,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A7,sleep_edf,Random_Merges,Hist_LogReg,1024,42,0.5895658617493895,0.07192611650615084,0.4879245283018869,0.6438258386866524,0.44203198814253836,0.3088292171860117,2026-03-21T23:16:05.951056
A7,sleep_edf,Random_Merges,Hist_LogReg,1024,123,0.5895178425685368,0.07376433086597532,0.4852830188679245,0.6452533904354033,0.442422755544235,0.30945882974438027,2026-03-21T23:16:05.952560
A7,sleep_edf,Random_Merges,Hist_LogReg,1024,456,0.5902931149551482,0.07190671961235205,0.48867924528301887,0.6445396145610278,0.4440100757840815,0.3097963124516223,2026-03-21T23:16:05.953559
A7,sleep_edf,Random_Merges,Hist_LogReg,1024,789,0.5901742371615201,0.07182856487764572,0.48867924528301887,0.6445396145610278,0.43976367692191526,0.3083643381623234,2026-03-21T23:16:05.954559
A7,sleep_edf,Random_Merges,Hist_LogReg,1024,2024,0.5893144591265477,0.07230672083219196,0.4871698113207547,0.6445396145610278,0.4417947657509629,0.3083754696366255,2026-03-21T23:16:05.955058
A7,sleep_edf,Random_Merges,Seq_CNN,1024,42,0.8512866329654614,0.013594495912537585,0.8376159885795861,0.8698288159771753,0.48434669379556733,0.6635323350900367,2026-03-21T23:16:18.117729
A7,sleep_edf,Random_Merges,Seq_CNN,1024,123,0.8518231385198894,0.00945559907357953,0.8386866523911491,0.8605563480741797,0.484390372188525,0.6654979525996592,2026-03-21T23:16:26.091749
A7,sleep_edf,Random_Merges,Seq_CNN,1024,456,0.8596080924800039,0.008201083031173092,0.8497501784439686,0.8698288159771753,0.4916976483555006,0.6815801713258843,2026-03-21T23:16:32.772357
A7,sleep_edf,Random_Merges,Seq_CNN,1024,789,0.8573294174184739,0.015430099174049736,0.8358315488936473,0.8713207547169811,0.4988225281093755,0.6793355630997513,2026-03-21T23:16:40.812503
A7,sleep_edf,Random_Merges,Seq_CNN,1024,2024,0.8520697470950788,0.010035346530643776,0.8408279800142755,0.8651925820256775,0.4803672097891063,0.6640655927119404,2026-03-21T23:16:47.519260
