dataset,classifier,vocab_size,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa,auc_roc
bci_iv_2a,BPE_WindowedSeq_CNN,4096,789,LOSO,1,0.265625,0.265625,0.2178279756049871,0.0208333333333333,0.5263531217849795
bci_iv_2a,BPE_WindowedSeq_CNN,4096,789,LOSO,2,0.328125,0.328125,0.2534118891681274,0.1041666666666666,0.6254420653292181
bci_iv_2a,BPE_WindowedSeq_CNN,4096,789,LOSO,3,0.3072916666666667,0.3072916666666666,0.2328806535267026,0.0763888888888888,0.5921023019547325
bci_iv_2a,BPE_WindowedSeq_CNN,4096,789,LOSO,4,0.3020833333333333,0.3020833333333333,0.2816463762659512,0.0694444444444444,0.5178956082818931
bci_iv_2a,BPE_WindowedSeq_CNN,4096,789,LOSO,5,0.2690972222222222,0.2690972222222222,0.1952345337834384,0.0254629629629629,0.5451107574588477
bci_iv_2a,BPE_WindowedSeq_CNN,4096,789,LOSO,6,0.3055555555555556,0.3055555555555556,0.2586368635486948,0.074074074074074,0.5602374292695473
bci_iv_2a,BPE_WindowedSeq_CNN,4096,789,LOSO,7,0.3020833333333333,0.3020833333333333,0.2256562881562882,0.0694444444444444,0.562451774691358
bci_iv_2a,BPE_WindowedSeq_CNN,4096,789,LOSO,8,0.3663194444444444,0.3663194444444445,0.299291173938194,0.1550925925925925,0.5827666859567902
bci_iv_2a,BPE_WindowedSeq_CNN,4096,2024,LOSO,0,0.3142361111111111,0.3142361111111111,0.2643431731667025,0.0856481481481481,0.592946244855967
bci_iv_2a,BPE_WindowedSeq_CNN,4096,2024,LOSO,1,0.2725694444444444,0.2725694444444444,0.2163867126080128,0.0300925925925925,0.5300323109567902
bci_iv_2a,BPE_WindowedSeq_CNN,4096,2024,LOSO,2,0.3246527777777778,0.3246527777777778,0.2412932687103214,0.099537037037037,0.6224922839506173
bci_iv_2a,BPE_WindowedSeq_CNN,4096,2024,LOSO,3,0.3211805555555556,0.3211805555555556,0.2543005887218411,0.0949074074074074,0.5844947595164609
bci_iv_2a,BPE_WindowedSeq_CNN,4096,2024,LOSO,4,0.28125,0.28125,0.2200074197049097,0.0416666666666666,0.5243778935185186
bci_iv_2a,BPE_WindowedSeq_CNN,4096,2024,LOSO,5,0.25,0.25,0.189337261715754,0.0,0.5396010159465021
